No,District,County,Subcounty
643,ABIM,LABWOR,ABIM
644,ABIM,LABWOR,ALEREK
645,ABIM,LABWOR,LOTUKEI
646,ABIM,LABWOR,MORULEM
647,ABIM,LABWOR,NYAKWAE
471,ADJUMANI,EAST MOYO,ADJUMANI TC
472,ADJUMANI,EAST MOYO,ADROPI
473,ADJUMANI,EAST MOYO,CIFORO
474,ADJUMANI,EAST MOYO,DZAIPI
475,ADJUMANI,EAST MOYO,OFUA
476,ADJUMANI,EAST MOYO,PAKELLE
648,AMOLATAR,KIOGA,APUTI
649,AMOLATAR,KIOGA,AWELO
650,AMOLATAR,KIOGA,MUNTU
651,AMOLATAR,KIOGA,NAMASALE
413,AMURIA,AMURIA,ABARILELA
414,AMURIA,AMURIA,ASAMUK
415,AMURIA,AMURIA,KUJU
416,AMURIA,AMURIA,ORUNGO
417,AMURIA,AMURIA,WERA
418,AMURIA,AMURIA,MORUNGATUNY
419,AMURIA,KAPELEBYONG,ACOWA
420,AMURIA,KAPELEBYONG,KAPELEBYONG
421,AMURIA,KAPELEBYONG,OBALANGA
652,AMURU,KILAK,AMURU
653,AMURU,KILAK,ATIAK
654,AMURU,KILAK,LAMOGI
655,AMURU,KILAK,PABBO
656,AMURU,NWOYA,ALERO
657,AMURU,NWOYA,ANAKA
658,AMURU,NWOYA,PURONGO
659,AMURU,NWOYA,KOCH GOMA
477,APAC,KOLE,ABOKE
478,APAC,KOLE,AKALO
479,APAC,KOLE,ALITO
480,APAC,KOLE,AYER
481,APAC,KOLE,BALA
482,APAC,KWANIA,ABONGOMOLA
483,APAC,KWANIA,ADUKU
484,APAC,KWANIA,CHAWENTE
485,APAC,KWANIA,INOMO
486,APAC,KWANIA,NAMBIESO
487,APAC,MARUZI,AKOKORO
488,APAC,MARUZI,APAC
489,APAC,MARUZI,APAC TC
490,APAC,MARUZI,CEGERE
491,APAC,MARUZI,IBUJE
492,ARUA,ARUA MUNICIPALITY,ARUA HILL
493,ARUA,ARUA MUNICIPALITY,OLI RIVER
494,ARUA,AYIVU,ADUMI
495,ARUA,AYIVU,AROI
496,ARUA,AYIVU,DADAMU
497,ARUA,AYIVU,MANIBE
498,ARUA,AYIVU,OLUKO
499,ARUA,AYIVU,PAJULU
500,ARUA,MADI-OKOLLO,OFFAKA
501,ARUA,MADI-OKOLLO,OGOKO
502,ARUA,MADI-OKOLLO,OKOLLO
503,ARUA,MADI-OKOLLO,RHINO CAMP
504,ARUA,MADI-OKOLLO,RIGBO
505,ARUA,MADI-OKOLLO,ULEPPI
