Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,APELKERE
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,ATUGO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,KOPO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,ORYEOTYENE  EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,ORYEOTYENE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,ORYEOTYENE SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,OTALABAR  EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,OTALABAR CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,OTALABAR WEST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,OTALABAR NEWLINE
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ATUNGA,OTALABAR TRADING CENTRE
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,ANGICA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,APELKORI
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,AROO WEST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,OBWORO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,GEREGERE EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,GEREGERE NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,GEREGERE SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,KANU,AROO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AMONICEK
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AREMBWOLA CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AREMBWOLA  NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AREMBWOLA  SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AREMBWOLA EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,OYOMPOLO
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,ALUGA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,AREMBWOLA,AMITA PRISON
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ANINATA,AJUKUNA
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ANINATA,ANINATA CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ANINATA,ANINATA NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ANINATA,ANINATA EAST
KARAMOJA,ABIM,LABWOR COUNTY,ABIM,ANINATA,ANINATA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,LOYOROIT,ALIMOCAN
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,LOYOROIT,OLEM CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,LOYOROIT,OLEM EAST
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,LOYOROIT,OLEM NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,LOYOROIT,OLEM WEST
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,KINGO
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,NYIKINYIKI
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,ODOKOMIT
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,WILELA CENTRAL II
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,WILELA CENTRAL I
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,WILELA NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,WILELA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,YWEE-WII
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,KANYALAKA NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,WILELA,KANYALAKA SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,ARENGEPUA
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,KAWANG
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,LOYOROIT CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,OTUMPILI CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,OTUMPILI NORTH
KARAMOJA,ABIM,LABWOR COUNTY,ALEREK,OTUMPILI,OTUMPILI SOUTH
